,평균기온,강수량,cold,flu,pneumonia,coronavirus
2019-07-16,22.8,7.988,0.089,0.04,0.139,0.006
2019-07-17,23.7,0.738,0.088,0.037,0.137,0.005
2019-07-18,25.1,1.42,0.078,0.032,0.129,0.004
2019-07-19,25.9,1.621,0.071,0.025,0.12,0.006
2019-07-20,25.4,11.35,0.063,0.022,0.094,0.004
2019-07-21,24.2,12.185,0.058,0.022,0.082,0.004
2019-07-22,26.9,0.2,0.074,0.033,0.133,0.005
2019-07-23,27.4,0.03,0.07,0.029,0.128,0.006
2019-07-24,26.4,3.047,0.07,0.026,0.128,0.005
2019-07-25,26.3,9.528,0.07,0.026,0.12,0.004
2019-07-26,24.7,50.142,0.063,0.027,0.111,0.004
2019-07-27,26.9,1.712,0.076,0.02,0.092,0.003
2019-07-28,25.9,24.658,0.633,0.024,0.079,0.002
2019-07-29,27.2,0.625,0.077,0.033,0.133,0.004
2019-07-30,27.7,8.178,0.059,0.028,0.125,0.004
2019-07-31,27.1,26.423,0.064,0.026,0.115,0.003
2019-08-01,27.4,11.147,0.063,0.027,0.111,0.004
2019-08-02,27.7,0.25,0.07,0.023,0.107,0.003
2019-08-03,27.2,4.211,0.065,0.017,0.089,0.004
2019-08-04,27.3,8.6,0.079,0.02,0.088,0.003
2019-08-05,28.1,29.2,0.098,0.027,0.131,0.004
2019-08-06,27.8,9.278,2.311,0.025,0.127,0.004
2019-08-07,25.6,38.794,0.092,0.029,0.129,0.006
2019-08-08,27.2,2.864,0.08,0.027,0.123,0.005
2019-08-09,27.8,0.11,0.083,0.027,0.118,0.006
2019-08-10,28.1,1.033,0.083,0.021,0.096,0.004
2019-08-11,27.5,6.988,0.076,0.021,0.086,0.004
2019-08-12,26.4,27.763,0.082,0.032,0.145,0.004
2019-08-13,26.9,3.733,0.084,0.031,0.144,0.006
2019-08-14,27.3,1.02,0.084,0.031,0.127,0.006
2019-08-15,24.4,48.465,0.075,0.022,0.1,0.004
2019-08-16,25.1,3.145,0.087,0.025,0.133,0.004
2019-08-17,25.1,4.092,0.07,0.022,0.106,0.003
2019-08-18,23.9,0,0.073,0.024,0.094,0.004
2019-08-19,24,0,0.083,0.036,0.157,0.006
2019-08-20,24.9,0.4,0.083,0.038,0.199,0.008
2019-08-21,24.8,0.453,0.084,0.032,0.145,0.007
2019-08-22,25,1.2,0.082,0.037,0.137,0.013
2019-08-23,24.3,0,0.075,0.031,0.139,0.008
2019-08-24,22.3,0.125,0.071,0.024,0.11,0.004
2019-08-25,22.8,9.66,0.075,0.032,0.112,0.007
2019-08-26,23.8,0,0.092,0.045,0.171,0.007
2019-08-27,23,5.235,0.096,0.045,0.156,0.007
2019-08-28,24,0.218,0.101,0.047,0.146,0.008
2019-08-29,22.5,10.053,0.095,0.045,0.15,0.006
2019-08-30,22.4,0.189,0.086,0.044,0.144,0.007
2019-08-31,22.1,0,0.088,0.034,0.132,0.006
2019-09-01,22,0,0.09,0.039,0.115,0.004
2019-09-02,22.4,0.24,0.104,0.063,0.178,0.007
2019-09-03,21.6,8.874,0.226,0.058,0.159,0.008
2019-09-04,22,24.47,0.11,0.056,0.153,0.006
2019-09-05,23,37.716,0.105,0.058,0.163,0.007
2019-09-06,24.1,3.817,0.095,0.053,0.151,0.006
2019-09-07,25.5,6.879,0.103,0.041,0.124,0.004
2019-09-08,24.4,0.2,0.094,0.049,0.115,0.006
2019-09-09,24,2.016,0.121,0.08,0.192,0.006
2019-09-10,23,44.272,0.108,0.068,0.175,0.005
2019-09-11,21.8,21.026,0.104,0.063,0.165,0.006
2019-09-12,19.9,3.289,0.104,0.044,0.117,0.005
